SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0542    2471,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,766,217,137,2023/10/10 05:16:33+00,21263429
0542    2472,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,766,217,137,2023/10/10 05:16:33+00,21263430
0542    2473,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,766,217,137,2023/10/10 05:16:33+00,21263431
0542    2474,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,766,217,137,2023/10/10 05:16:33+00,21263432
0542    2475,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,766,217,137,2023/10/10 05:16:33+00,21263433
0542    2476,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263434
0542    2477,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,769,217,144,2023/10/10 05:16:33+00,21263435
0542    2478,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,769,217,144,2023/10/10 05:16:33+00,21263436
0542    2479,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,892,217,144,2023/10/10 05:16:33+00,21263437
0542    2480,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,892,217,144,2023/10/10 05:16:33+00,21263438
0542    2481,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,798,217,144,2023/10/10 05:16:33+00,21263439
0542    2482,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,798,217,144,2023/10/10 05:16:33+00,21263440
0542    2483,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,798,217,144,2023/10/10 05:16:33+00,21263441
0542    2484,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,798,217,144,2023/10/10 05:16:33+00,21263442
0542    2485,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,798,217,144,2023/10/10 05:16:33+00,21263443
0542    2486,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,798,217,144,2023/10/10 05:16:33+00,21263444
0542    2487,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,798,217,144,2023/10/10 05:16:33+00,21263445
0542    2488,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263446
0542    2489,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263447
0542    2490,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263448
0542    2491,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263449
0542    2492,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263450
0542    2493,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263451
0542    2494,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263452
0542    2495,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263453
0542    2496,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,916,217,144,2023/10/10 05:16:33+00,21263454
0542    2497,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263455
0542    2498,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263456
0542    2499,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263457
0542    2500,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263458
0542    2501,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263459
0542    2502,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263460
0542    2503,1,1,0,No Data,0,Default,0,Typical,,1,2015/06/12 00:00:00+00,91000000,U,,,1924,2,903,217,144,2023/10/10 05:16:33+00,21263461
